epoch,train_loss,val_loss,val_acc,val_auc,val_sens,val_spec
1,0.6186214330274968,0.4655152176188313,0.8403679653679653,0.9123683548176954,0.797486033519553,0.8674911660777385
2,0.5286520875319354,0.39938489341245587,0.8831168831168831,0.9404499871686045,0.7905027932960894,0.941696113074205
3,0.47975294780377004,0.393222583223989,0.8733766233766234,0.9385209595909746,0.7918994413407822,0.9249116607773852
4,0.43318017935354397,0.39719143803372525,0.8658008658008658,0.9377270169966638,0.8603351955307262,0.8692579505300353
5,0.4004540812075415,0.3736501791316903,0.8944805194805194,0.9475331642221212,0.8296089385474861,0.9355123674911661
6,0.3629191866595931,0.3703490223904902,0.8863636363636364,0.9498378802534694,0.8547486033519553,0.9063604240282686
7,0.34298447138018484,0.3603811647291436,0.8831168831168831,0.9488564018793059,0.8575418994413407,0.8992932862190812
8,0.32073120342199185,0.35829478973176054,0.8663419913419913,0.9536058688828788,0.9050279329608939,0.8418727915194346
9,0.3021806285542781,0.34820914701699757,0.8939393939393939,0.9548550792585427,0.8310055865921788,0.9337455830388692
10,0.27094452204692937,0.3543602737932752,0.8766233766233766,0.9553960953076575,0.8854748603351955,0.8710247349823321
11,0.23933046363370222,0.3579566729924283,0.8831168831168831,0.9553800560633279,0.8645251396648045,0.8948763250883393
12,0.23377242203829543,0.35849687851334466,0.8814935064935064,0.9561456215330557,0.8854748603351955,0.8789752650176679
