epoch,train_loss,val_loss,train_dice_disc,train_dice_cup,val_dice_disc,val_dice_cup,lr
1,1.2386960870478734,0.9781085604028192,0.6223757863044739,0.47118863463401794,0.7538591027259827,0.5117650628089905,0.0002995468480587698
2,0.7499996952682852,0.4729486802061307,0.8014631867408752,0.5850737690925598,0.8684874773025513,0.685081422328949,0.0002981901860674852
3,0.3190380918136631,0.21377342852943182,0.8713241219520569,0.7110444903373718,0.9064597487449646,0.7658898830413818,0.0002959383782984584
4,0.21017818357721268,0.2060082422746583,0.897671103477478,0.7585843205451965,0.9014793634414673,0.7490378618240356,0.0002928053078953875
5,0.18308758272592765,0.17305972577524295,0.9096231460571289,0.774852991104126,0.9228902459144592,0.7867902517318726,0.00028881029127915907
6,0.17043868017445998,0.17427346082685166,0.9167153835296631,0.7827731370925903,0.9091525077819824,0.7698020339012146,0.00028397795905569
7,0.16214921205226643,0.17041236736105103,0.9189807772636414,0.7869798541069031,0.9280954599380493,0.7790904641151428,0.0002783381041600515
8,0.15746002188657385,0.1538753736323381,0.9242547154426575,0.7932765483856201,0.9228624105453491,0.7992249131202698,0.00027192549817311724
9,0.14983190576809335,0.15293046393001716,0.9274967312812805,0.8014932870864868,0.9224089980125427,0.7937076687812805,0.00026477967694320454
10,0.14396391452783608,0.15530696801685678,0.9313996434211731,0.8043109178543091,0.9320972561836243,0.7913243174552917,0.00025694469683442247
11,0.1416044580598039,0.13432451356591316,0.931384265422821,0.8075729012489319,0.9366545081138611,0.8181667327880859,0.000248468863104537
12,0.13899582800310684,0.13306144764971015,0.9321663975715637,0.8119837045669556,0.9401857852935791,0.819692075252533,0.00023940443208699355
13,0.1391464331710481,0.12652812784066608,0.9329226016998291,0.8107346296310425,0.9446438550949097,0.8244240283966064,0.00022980728901324447
14,0.13633794684809042,0.13643253928270804,0.9356685876846313,0.8143643736839294,0.945481538772583,0.8126782774925232,0.00021973660346171338
15,0.13034581354414798,0.13895683962065217,0.9388879537582397,0.8198655247688293,0.9421303272247314,0.8074929118156433,0.0002092544645576682
16,0.12922171033562654,0.12711002859189727,0.940669596195221,0.8210439085960388,0.9477234482765198,0.8239749073982239,0.0001984254981731173
17,0.12823463815349745,0.12619972211717176,0.9402526021003723,0.8220208287239075,0.9444093704223633,0.8247973918914795,0.00018731646848681814
18,0.1257228670545308,0.12997258321453414,0.940898060798645,0.8241828083992004,0.9470090270042419,0.8221762776374817,0.00017599586636091397
19,0.1257741856889658,0.12239220724581566,0.942281186580658,0.8259778022766113,0.9477258920669556,0.8298295140266418,0.00016453348707199324
20,0.12198480422723579,0.12278630634609895,0.943333625793457,0.8290138244628906,0.9469281435012817,0.8292606472969055,0.00015300000000000003
21,0.12260506229393511,0.12506675132466027,0.9421173334121704,0.8276947140693665,0.9433009624481201,0.830506443977356,0.00014146651292800685
22,0.12292043029134017,0.13291184306836185,0.9425860643386841,0.8279550671577454,0.945131242275238,0.8168007731437683,0.00013000413363908615
23,0.1191740805780389,0.12138580173046572,0.944989800453186,0.832491934299469,0.9485843181610107,0.8286163210868835,0.00011868353151318195
24,0.11699150759444768,0.11849722117531328,0.9463068246841431,0.8365502953529358,0.9485971927642822,0.8345471024513245,0.00010757450182688277
25,0.11508411510413387,0.11946576481075685,0.9475023150444031,0.8384894132614136,0.9498690962791443,0.8358297348022461,9.674553544233184e-05
26,0.1152951464324121,0.11583949179494464,0.9478082060813904,0.8387003540992737,0.9497703909873962,0.8388238549232483,8.626339653828665e-05
27,0.11333683058916336,0.11423013952243079,0.9486176371574402,0.8399306535720825,0.9511162042617798,0.8412978053092957,7.619271098675555e-05
28,0.1130534481568878,0.1159232540224655,0.9486426115036011,0.8408940434455872,0.9515036940574646,0.8389991521835327,6.659556791300648e-05
29,0.11159551030106515,0.11421664646910958,0.9481627941131592,0.8407610654830933,0.9513372182846069,0.839500367641449,5.753113689546303e-05
30,0.10875164895537365,0.11268020329646887,0.9503028392791748,0.8464575409889221,0.9512333273887634,0.8427072167396545,4.905530316557753e-05
31,0.1100018344582077,0.11301077124414201,0.9491038918495178,0.8444443941116333,0.950968861579895,0.8429954648017883,4.1220323056795455e-05
32,0.11186071746496565,0.11380732654142268,0.9489771723747253,0.8424150943756104,0.951664924621582,0.8415946364402771,3.407450182688274e-05
33,0.10777296264659599,0.11066271499525367,0.9503659009933472,0.8468617796897888,0.9524904489517212,0.8460190892219543,2.7661895839948448e-05
34,0.10806210788775725,0.11289090969169777,0.951147198677063,0.8474512100219727,0.9519595503807068,0.842125415802002,2.2022040944309934e-05
35,0.1075005179634726,0.11137325968377275,0.9505755305290222,0.8451218008995056,0.9529653191566467,0.8450846076011658,1.7189708720840848e-05
36,0.10697768390386465,0.11596940689463073,0.9511335492134094,0.8479467034339905,0.9515049457550049,0.837849497795105,1.3194692104612429e-05
37,0.10637171201378226,0.11442742871850936,0.9518882632255554,0.8478177189826965,0.951819896697998,0.8406447172164917,1.0061621701541545e-05
38,0.10707452607552606,0.11223458742459247,0.9513785243034363,0.8484394550323486,0.9524684548377991,0.8425552248954773,7.809813932514763e-06
39,0.10654187223974215,0.1122383749125452,0.9514631032943726,0.8479423522949219,0.9527919292449951,0.8429927825927734,6.453151941230188e-06
40,0.10527384847372889,0.11265149518951185,0.9522683620452881,0.8505778908729553,0.951443612575531,0.8419033885002136,5.999999999999999e-06
